Date / Time,City,State,Shape,Duration,Summary,Posted
12/03/2020 18:00,Valley Glen,CA,Other,18:15,"Several symmetrical, dim orange lights, moving slowly across the sky then fading away and disappearing.",12/23/20
12/03/2020 18:00,Arroyo Grande,CA,Formation,3 min,20+ &quot;string&quot; of lights that were &quot;chasing&quot; ea. other & were equally distanced from 1 another as they chased each ot,12/23/20
12/03/2020 6:00,Forest Hills,NY,Disk,15 minutes,I observed a disk/saucer shaped object high above my 31st floor terrace in a partly cloudy predawn sky. The disk was bright red and mo,12/23/20
12/03/2020 5:55,Northbrook,IL,,,MADAR Node 98,12/23/20
12/03/2020 4:00,Great falls,MT,Light,4 seconds maybe less,Appeared to be artificial light that bursted randomly out of montana sky's then tapered off as the object seemed to be falling towards,12/23/20
12/03/2020 3:43,Edmonds,WA,,,MADAR Node 61,12/23/20
12/02/2020 0:00,Hopkins,MN,Light,1 minute,I was smoking outside my apartment that night. Since Ilive in thecity there are no stars in the sky. The only thing I can see in the ea,12/23/20
12/02/2020 23:00,Lords Valley,PA,Cone,4 mins,Top-shaped object. Witness was unnerved by fact it was shining a search beam looking for something.,12/23/20
12/02/2020 23:00,Richmond,VA,Light,5 minutes,Strange flashing lights hovering and the sound of whales singing from all around me in the sky,12/23/20
12/02/2020 22:00,Fairfield,CT,Light,0.6,"two objects that appeared through my camera as white, seem that they had the ability to become one and seperate at high speed.",3/31/21
12/02/2020 19:00,mexico,,Sphere,still live,"is still live on webcams de mexico or quantum noticias, it has been ther for more than 24hrs, it was impresive at dawn!!!! https://www.",12/23/20
12/02/2020 19:00,Loveland,CO,Light,3 minutes,Stream of perfectly spaced light objects,12/23/20
12/02/2020 18:50,Joshua tree,CA,Formation,1minute,A formation 20 to 30 lights suddenly appearing from the east one after the other moving northwest and disappearing.,12/23/20
12/02/2020 18:45,Tucson,AZ,Light,two minutes,"Steady line of small lights travelling west to east in Tucson approximately 18:45 December 2, 2020",12/23/20
12/02/2020 18:30,Lehighton,PA,Fireball,2 seconds,It was obviously on fire yet no meteors were reported plus if it were a meteor it would be moving side ways this thing came straighdown,12/23/20
12/02/2020 18:05,Chatsworth,CA,Formation,5 minutes,Straight line of UFOs moving West to East over Chatsworth CA,12/23/20
12/02/2020 18:05,San Diego,CA,Circle,Aprox 2 to 3 minutes,"Witnesses to the sighting were myself age 51 (Fire Alarm System Inspector), Dad age 81 (Sales executive in aircraft bearings industry a",12/23/20
12/02/2020 18:00,San Jose,CA,Light,1 minute,A single line of 25 flying light objects flying moving faster than a satellite,12/23/20
12/02/2020 18:00,Watsonville,CA,Formation,3:00 minutes,Disturbing but exciting experience. Formation of lights.,12/23/20
12/02/2020 17:44,Chula Vista,CA,Light,1 minute,"On Wednesday December 02, 2020 at approximately 1744 hours while working out at Norman Park in Chula Vista, California located at Del M",12/23/20
12/02/2020 17:30,"laughlin ,",NV,Light,5:00 minutes,"A single file line of lights in the night sky with the exception of one light set slightly off to the side. Estimated altitude of 10,00",12/23/20
12/02/2020 15:20,Simpsonville,SC,Light,0:03:47,An identical sighting almost one year after the first one over the SC sky,12/23/20
12/02/2020 8:00,Anderson,IN,Oval,10 seconds,"Driving 50 MPH East bound when I observed a metallic, stationary/oval shape in South Eastern sky 10 to 15,000 feet in elevation that wa",12/23/20
12/02/2020 6:00,Riverside,CA,Circle,1 to 2 min,"About 15 white round lights in a formation, from left to right way lower than a satellite than disappeared. I live by March AFB",12/23/20
12/02/2020 2:30,Bayonne,NJ,Oval,3+ hours,"I got up to the bathroom after 2 in the morning, from the window I could see some very bright lights were 4 lights in an almost square",12/23/20
12/02/2020 1:00,Stamford,CT,Circle,5 minutes got scared went,"12/02/2020 UFO 1.	SIGHTING I took my dog outside at 1:00 am.Something caught my eye in the sky and I looked up I could see about 15",12/23/20
12/02/2020,palm desert,CA,Changing,5 minutes,"spinning, flashing light. diamond shaped up by clouds no noise stayed in one spot move slowly straight up day light 4pm similar to uf",12/23/20
12/01/2020 23:00,Sekiu,WA,Circle,3 minutes,Bright object flew into the water followed by burst of light outward from place of impact.,12/23/20
12/01/2020 22:30,Tyler,TX,Light,1.5 Mins,"Three lights, moving in same relative direction: From NE to SW on fast but steady course",12/23/20
12/01/2020 21:15,Cumming,GA,Fireball,1-2 minutes,Two slow moving fireballs following each other parallel to the earth’s surface,12/23/20
12/01/2020 20:00,san bernardino,WA,Cone,30 minites,Strange lights over San Bernardino California,12/23/20
12/01/2020 20:00,Baton Rouge,LA,Circle,all night,"lights, orbs, spaceships, and drones all following me for months",12/23/20
12/01/2020 19:30,Trexlertown,PA,Light,2 seconds,Saw a massive bright green beam of light shoot out of the ground into the sky,12/23/20
12/01/2020 17:58,Granite City,IL,Light,8 seconds,"2 White lights moving in unison in Granite City, IL",12/23/20
12/01/2020 17:50,Birmingham,AL,Light,10 seconds,Bright light moving sporadically up and down and across the sky,12/23/20
12/01/2020 17:00,Wilmington,DE,Cylinder,30 sec,Driving on Old Coach Road towards Polly Drummond Road at 5pm when noticed a skinny object with a red and white light at either end fly,1/19/21
12/01/2020 14:45,Weidman,MI,Light,4-5 minutes,Extremely bright mirror like light that left vapor trail then disappeared in clear sky,12/23/20
12/01/2020 12:00,Millstone,NJ,Circle,5 mins,It flew across highway dropped to the ground and sky rocketed,12/23/20
12/01/2020 9:00,Barnegat Township,NJ,Unknown,30 min,Witnessed object being chased by fighter jets 30 passes so far,12/23/20
12/01/2020 6:00,Hyde Park,VT,Diamond,30 sec,I saw a very bright light in the sky and then it disappeared.,12/23/20
12/01/2020 5:09,Jonesboro,AR,,,MADAR Node 143,12/23/20
11/12/2020 22:03,Fishers,IN,,,MADAR Node 84,12/23/20
11/12/2020 19:35,Tucson,AZ,Formation,1-3 minutes,Red/orange lights lined up in formation high above Tucson AZ,12/23/20
11/12/2020 19:00,Phoenix,AZ,Light,5 minutes,"Star-like object moving across sky, swerving side to side.",12/23/20
11/12/2020 19:00,Decherd,TN,Cigar,7 minutes,My kids alerted me to 4 lights blinking in rhythm it was dark but far off but still huge. It was silent no noise at all and just blinke,12/23/20
11/12/2020 18:25,Cajon Pass,CA,Fireball,1 second,"11/12/2020 @ approx. 18:25 Southbound on the Cajon Pass, CA.As I was driving down the Pass, at about the heighth of a helicopter,We",12/23/20
11/12/2020 18:20,Knoxville,TN,Other,8-10 minutes,"I saw eight independent, irregular-moving glowing objects cross the night sky.",12/23/20
11/12/2020 18:10,Dublin,CA,Other,6 minutes,Dim Non-satellite changes direction. Gets curious. Goes extremely fast exciting.,12/23/20
11/12/2020 17:00,Wheatland,CA,Other,10 minutes we were able t,"Me and my mother were driving on 65 south going back towards Roseville, CA and she saw this bright white light in the sky and thought i",12/23/20
11/12/2020 17:00,North Hollywood,CA,Other,10/15 seconds,"No lights,no sound, approximately 300/ 1000 feet elevation. It was shaped like a surfboard or a straight single wing. It was tan or li",12/23/20
11/12/2020 11:30,Los Angeles,CA,Unknown,10+,Unusual clouds looking like missile launch,12/23/20
11/12/2020 8:10,Gibson,LA,Disk,5 seconds,Silver reflective object that immediately disappears!,12/23/20
11/12/2020 3:45,Huber Heights,OH,Triangle,5 minutes,"Black triangle, row of amber lights on the back and one red blinking light centered underneath",12/23/20
11/11/2020 20:50,Bluffton,SC,Triangle,2 minutes,"tricycle, back wheels blue lights, front red light, noise was loud roaring sound",12/23/20
